"Carimbo de data/hora","1. Qual a sua faixa etária?","2. Qual seu sexo?","3. Qual seu nível de escolaridade?","4. Selecione abaixo os seus gêneros literários preferidos:","5. Quantos livros, em média, você lê por ano?","6. Qual é a sua forma preferida de leitura?","7. Em que tipo de ambiente você costuma ler?","8. Qual é o seu maior obstáculo para ler um livro? (Dificuldades e limitações)","9. O que a leitura pode contribuir/contribuiu para você?","10. Qual foi o seu primeiro contato com a leitura?","PERGUNTA EXTRA
O que você sugere para melhorar a experiência do leitor com os livros e bibliotecas?"
"2024/02/21 8:33:30 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Suspense;Ficção científica","6 a 10 livros","Livro físico","Em casa;Transporte público","Tempo","Conhecimento sempre","Em uma biblioteca pública","Divulgação da biblioteca e facilidade na retirada e entrega das locações "
"2024/02/21 8:35:16 AM GMT-3","Mais de 25 anos","Feminino","Ensino Fundamental Completo ou Cursando","Romance;Fantasia;Suspense;Biografia;História","1 a 5 livros","Livro físico","Em casa","Ter o livro disponível para ler","Aprendizagem","Na escola","Acesso mais fácil aos livros"
"2024/02/21 9:46:19 AM GMT-3","22 - 24 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Autoajuda;Biografia;História;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Áudio book","Em casa;Transporte público","Preço e tempo","Conhecimento amplo","Em casa",""
"2024/02/21 9:48:58 AM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Ficção científica;Mangás ou Histórias em Quadrinhos","6 a 10 livros","Livro físico","Em casa","Barulho ","-Expansão do vocabulário
-Exercitar imaginação ","Em casa","Delivery de livros (estilo Ifood)"
"2024/02/21 9:50:53 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Suspense;Poesia","Nenhum","Livro físico","Ambiente escolar, como biblioteca, escola, faculdade, ...","Falta de tempo/disponibilidade.","Conhecimento da língua/Ensinamentos de vida.","Na escola",""
"2024/02/21 9:51:13 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Ficção científica;Mangás ou Histórias em Quadrinhos","11 a 15 livros","Livro físico;E-Book","Em casa;Locais públicos, como praças, cafeterias, ...;Transporte público;Ambiente de Trabalho","Tempo","Em diversas questões, porém creio que na formação e opinião.","Na escola","Alguma forma de catalogar, os livros já lidos, e ou emprestados com as bibliotecas."
"2024/02/21 9:51:28 AM GMT-3","22 - 24 anos","Masculino","Ensino Fundamental Incompleto","Ficção científica;Autoajuda","Nenhum","Livro físico","Em casa","Preguiça","Acredito que desenvolvimento pessoal e ajuda na questão de formalizar o pensamento","Na escola",""
"2024/02/21 9:52:32 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Autoajuda","1 a 5 livros","Livro físico","Em casa","nenhuma","Auto conhecimento, entretenimento","Na escola","Maior acesso e divulgacao"
"2024/02/21 9:53:34 AM GMT-3","22 - 24 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Suspense;Ficção científica;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico","Em casa;Locais públicos, como praças, cafeterias, ...;Ambiente escolar, como biblioteca, escola, faculdade, ...;Ambiente de Trabalho","Concentração","Conhecimento e entretenimento","Em casa","Incentivo social"
"2024/02/21 9:54:47 AM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Suspense","1 a 5 livros","Livro físico","Em casa;Ambiente de Trabalho","Tempo","Traz conhecimento, ajuda a relaxar ","Na escola",""
"2024/02/21 9:59:05 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Suspense;História;Mangás ou Histórias em Quadrinhos","Nenhum","Livro físico","Em casa","Destinar um tempo para a leitura, sempre prefiro fazer outras coisas.","Conhencimento e desenvolvimento pessoal.","Na escola",""
"2024/02/21 10:01:51 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Incompleto","Fantasia;Suspense;Ficção científica;Mangás ou Histórias em Quadrinhos","6 a 10 livros","E-Book","Em casa;Locais públicos, como praças, cafeterias, ...;Ambiente escolar, como biblioteca, escola, faculdade, ...;Transporte público;Ambiente de Trabalho","Iluminação , se não houver uma decente dificulta a leitura.","Ela contribuiu para ensinamentos e valores que fui aprendendo ao longo de cada experiência ","Na escola","O tamanho das fontes e a iluminação, quando esses fatores serem ajustados dependendo da necessidade do leitor a experiência melhoraria absurdo."
"2024/02/21 10:03:58 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Suspense;Ficção científica;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico","Em casa","Tempo livre","Ajuda a melhorar o vocabulario, aumenta o conhecimento.","Na escola",""
"2024/02/21 10:04:01 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Romance Policial","11 a 15 livros","Livro físico","Em casa;Locais públicos, como praças, cafeterias, ...","Tempo","Interpretação de texto e imaginação","Na escola","Deveria ter mais opções de livros e criar alguma ação para promover a leitura"
"2024/02/21 10:06:35 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Mangás ou Histórias em Quadrinhos","6 a 10 livros","E-Book","Em casa;Ambiente de Trabalho","Atualmente nenhuma, mas se fosse o caso, não ter acesso a internet me impossibilitaria de ler.","Imaginação e organizar os pensamentos ","Na escola","Um acesso a uma busca mais fácil aos livros, por exemplo um app ou site que tenha os livros disponíveis naquele momento."
"2024/02/21 10:06:48 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Suspense;Ficção científica;História","1 a 5 livros","Livro físico","Em casa","Estresse","Conhecimento ","Em casa","Divulgação sobre as vantagens da leitura "
"2024/02/21 10:10:19 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Incompleto","Ficção científica;História;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico;E-Book;Áudio book","Em casa;Transporte público","Acesso de maneira legal.","Conhecimento e formação como pessoa.","Em casa",""
"2024/02/21 10:11:33 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Suspense;Ficção científica;Biografia;História","1 a 5 livros","Livro físico;E-Book;Áudio book","Em casa","Tempo","Conhecimento e recreação","Na escola",""
"2024/02/21 10:12:35 AM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Suspense;Autoajuda;História","6 a 10 livros","Livro físico","Em casa;Locais públicos, como praças, cafeterias, ...;Ambiente escolar, como biblioteca, escola, faculdade, ...;Transporte público;Ambiente de Trabalho","as vezes manter o foco por muito tempo","aprendizado, me fazer ser uma pessoa mais interessante com conhecimento, ter assunto","Em casa","ter rodas de conversar que estimule a leitura e conversa do que foi lido"
